"Time","power 3devo-recycling-station","power olsk-large-laser-1","power prusa-mini-1","power prusa-mini-2","power prusa-mk4-1","power prusa-mk4-2","power prusa-mk4-3","power prusa-xl-1"
2024-11-01 14:01:00,0 W,0 W,0 W,0 W,0 W,0 W,13.5 W,0 W
2024-11-01 14:06:00,0 W,0 W,20 mW,20 mW,0 W,0 W,13.5 W,0 W
2024-11-01 14:11:00,0 W,0 W,0 W,20 mW,0 W,0 W,13.5 W,0 W
2024-11-01 14:16:00,0 W,0 W,0 W,0 W,0 W,0 W,4.08 W,0 W
2024-11-01 14:21:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-01 14:26:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-01 14:31:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-01 14:36:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-01 14:41:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-01 14:46:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-01 14:51:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-01 14:56:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-01 15:01:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-01 15:06:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-01 15:11:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-01 15:16:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-01 15:21:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-01 15:26:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-01 15:31:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-01 15:36:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-01 15:41:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-01 15:46:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-01 15:51:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-01 15:56:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-01 16:01:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-01 16:06:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-01 16:11:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-01 16:16:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-01 16:21:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
2024-11-01 16:26:00,0 W,0 W,0 W,0 W,0 W,0 W,0 W,0 W
